model_id,scenario_id,drop_modality,noisy_modality,gaussian_sigma,macro_f1,micro_f1,mean_average_precision,brier_score,macro_f1_fold_std,micro_f1_fold_std,mean_average_precision_fold_std,brier_score_fold_std,fold_count,seed_count_per_fold
B4,mixed.drop-audio.gaussian-location.sigma-1,audio,location,1,0.561766674244,0.660936068518,0.565852312663,0.144630873154,0.0365103598389,0.0261282848919,0.0317417677698,0.00618795306327,5,3
B4,mixed.drop-audio.gaussian-location.sigma-2,audio,location,2,0.550261484313,0.653972613863,0.554014910174,0.147496801522,0.0390586345624,0.0270881296645,0.0357638282992,0.00596265588722,5,3
B4,mixed.drop-audio.gaussian-phone_acc.sigma-1,audio,phone_acc,1,0.572626835836,0.673982213408,0.578290081059,0.139079508846,0.039755756038,0.024060893667,0.0343665237774,0.00745035644176,5,3
B4,mixed.drop-audio.gaussian-phone_acc.sigma-2,audio,phone_acc,2,0.568053051316,0.670545437927,0.572639388125,0.140704936486,0.0402809028422,0.0239683664788,0.036623459025,0.00734522883536,5,3
B4,mixed.drop-audio.gaussian-phone_gyro.sigma-1,audio,phone_gyro,1,0.575631069514,0.676674696416,0.58148937791,0.138057160465,0.0390232500776,0.0236293229311,0.0333266848089,0.00720756561426,5,3
B4,mixed.drop-audio.gaussian-phone_gyro.sigma-2,audio,phone_gyro,2,0.572817545356,0.674198770861,0.577428586375,0.139176415919,0.0375038508864,0.0241969870514,0.0340101370717,0.00747470147672,5,3
B4,mixed.drop-audio.gaussian-phone_state.sigma-1,audio,phone_state,1,0.522328407442,0.62445881756,0.521484410297,0.154205051813,0.0397788322609,0.0264838649243,0.0418101524542,0.00721734916964,5,3
B4,mixed.drop-audio.gaussian-phone_state.sigma-2,audio,phone_state,2,0.497409473577,0.602701986918,0.493534022857,0.162272173328,0.0408234404972,0.026954604302,0.0448297539256,0.00749880266575,5,3
B4,mixed.drop-audio.gaussian-watch_acc.sigma-1,audio,watch_acc,1,0.557544839376,0.659168074298,0.562327842367,0.145198108619,0.0406505393452,0.0229219209355,0.0397210939386,0.00754946188842,5,3
B4,mixed.drop-audio.gaussian-watch_acc.sigma-2,audio,watch_acc,2,0.5387041844,0.647453775143,0.539695569413,0.150280503809,0.0413047806947,0.0226157480247,0.0433569920491,0.007463106201,5,3
